GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB190828B   |    922808    | 3.764250e-04 | 2.897270e-04 | 2.606800e-03 | 5.617290e-03 | 3.593430e-03 | 2.579940e-02 | 4.957870e-02 | 4.064320e-02 | 2.316570e-01 | 2.122880e-01 | 1.394500e-01 | 6.844120e-01 | 5.554840e+00 | 3.531700e+00 | 1.364430e+01 | 2.198170e-01 | 1.842610e-01 | 9.410850e-01 | 5.566070e+00 | 3.575950e+00 | 1.390150e+01 | 0.02 | 11.196000 | 11.216000 |  
GRB190824A   |    922107    | 2.017970e+00 | 0.000000e+00 | 3.928830e+00 | 2.520310e+00 | 0.000000e+00 | 3.881830e+00 | 2.290570e+00 | 0.000000e+00 | 3.752150e+00 | 1.241820e+00 | 2.328670e-01 | 3.107220e+00 | 3.623170e+00 | 0.000000e+00 | 2.076800e+01 | 8.070600e+00 | 0.000000e+00 | 1.215170e+01 | 1.045470e+01 | 4.639430e+00 | 4.328700e+01 | 0.02 | 0.884000 | 0.904000 |  
GRB190821A   |    921722    | 1.674770e+00 | 7.983780e-01 | 2.685730e+00 | 1.597600e+00 | 9.907690e-01 | 2.187300e+00 | 1.060880e+00 | 5.917040e-01 | 1.507630e+00 | 4.465530e-01 | 1.838750e-01 | 7.616460e-01 | 1.096360e+00 | 3.736470e-01 | 2.219710e+00 | 4.779950e+00 | 3.054920e+00 | 6.511620e+00 | 5.429730e+00 | 3.529810e+00 | 7.333440e+00 | 0.02 | 30.112000 | 30.132000 |  
GRB190816A   |    920783    | 8.844900e-03 | 0.000000e+00 | 6.730370e-01 | 7.233320e-02 | 0.000000e+00 | 1.274770e+00 | 5.269250e-01 | 0.000000e+00 | 2.411760e+00 | 1.340800e+00 | 0.000000e+00 | 3.288940e+00 | 2.149840e+01 | 0.000000e+00 | 3.881050e+01 | 1.948910e+00 | 2.095070e+00 | 6.512940e+00 | 2.210620e+01 | 0.000000e+00 | 4.022810e+01 | 0.02 | 156.204000 | 156.224000 |  
GRB190727B   |    916733    | 2.521890e-03 | NaN | NaN | 2.654810e-02 | NaN | NaN | 3.518700e-01 | NaN | NaN | 9.770890e-01 | NaN | NaN | 3.034670e+01 | NaN | NaN | 1.298310e+00 | NaN | NaN | 2.372170e+01 | NaN | NaN | 0.02 | 1.692000 | 1.712000 |  
GRB190719C   |    915381    | 2.307060e+00 | 1.531590e+00 | 3.117540e+00 | 2.595220e+00 | 1.922370e+00 | 3.267310e+00 | 2.089030e+00 | 1.385560e+00 | 2.801350e+00 | 1.028010e+00 | 5.718570e-01 | 1.572850e+00 | 2.796360e+00 | 1.371100e+00 | 4.815210e+00 | 8.019360e+00 | 5.927900e+00 | 1.011400e+01 | 9.796570e+00 | 6.977020e+00 | 1.278030e+01 | 0.02 | 0.484000 | 0.504000 |  
GRB190718A   |    915091    | 2.480520e-01 | 0.000000e+00 | 7.310180e-01 | 4.722510e-01 | 0.000000e+00 | 8.957350e-01 | 6.953870e-01 | 0.000000e+00 | 1.078940e+00 | 5.505780e-01 | 1.295950e-01 | 1.191480e+00 | 2.194590e+00 | 0.000000e+00 | 1.430470e+01 | 1.966090e+00 | 0.000000e+00 | 2.872310e+00 | 3.616560e+00 | 1.325280e+00 | 1.478060e+01 | 0.02 | 0.088000 | 0.108000 |  
GRB190706B   |    913302    | 1.063580e+00 | 4.269310e-01 | 1.826220e+00 | 1.252040e+00 | 6.915790e-01 | 1.794610e+00 | 1.062520e+00 | 6.001090e-01 | 1.515160e+00 | 5.453020e-01 | 2.350190e-01 | 9.175340e-01 | 1.529040e+00 | 5.406540e-01 | 3.156940e+00 | 3.923440e+00 | 2.368830e+00 | 5.487570e+00 | 4.907590e+00 | 3.009470e+00 | 6.889100e+00 | 0.02 | 1.812000 | 1.832000 |  
GRB190701A   |    912310    | 4.640200e+00 | 2.685800e+00 | 6.562020e+00 | 1.069910e+00 | 0.000000e+00 | 2.035610e+00 | 1.267180e-01 | 0.000000e+00 | 4.606980e-01 | 1.209650e-02 | 0.000000e+00 | 8.285080e-02 | 1.660680e-02 | 0.000000e+00 | 1.361220e-01 | 5.848510e+00 | 3.062350e+00 | 8.609010e+00 | 5.866120e+00 | 3.057240e+00 | 8.626700e+00 | 0.02 | 49.136000 | 49.156000 |  
GRB190630C   |    912239    | 5.729860e-01 | NaN | NaN | 9.680850e-01 | NaN | NaN | 1.245230e+00 | NaN | NaN | 8.878910e-01 | NaN | NaN | 3.224440e+00 | NaN | NaN | 3.673700e+00 | NaN | NaN | 6.021860e+00 | NaN | NaN | 0.02 | 0.336000 | 0.356000 |  
